;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Period
Australia;4,62;4,7;4,76;4,67;4,7;5,32;5,44;5,91;5,92;6,2;6,37;6,17;5,86;2023Q1
Austria;7,49;7,19;7,77;7,99;6,84;7,45;7,33;7,54;7,55;7,62;7,42;7,74;7,92;2023Q2
Belgium;5,03;4,92;5,33;5,78;5,38;5,69;5,87;6,34;6,34;6,23;6,25;6,17;5,97;2023Q2
Canada;4,77;4,88;4,62;4,3;4,48;4,55;4,65;4,79;4,79;4,7;4,56;4,77;4,87;2023Q3
Cyprus;6;4,39;3,8;8,12;9,58;9,87;10,18;8,7;8,1;8,92;8,66;7,34;6,87;2023Q3
Czech Rep.;6,45;6,46;6,85;7,18;7,27;7,49;7,23;6,46;6,52;6,82;7,34;6,92;6,72;2023Q2
Denmark;4,12;4,34;4,63;4,85;4,59;4,99;5,14;4,88;5,1;4,83;4,65;4,79;4,88;2023Q2
Estonia, Rep. of;9,01;8,2;9,05;9,87;10,68;15,05;13,96;13,1;12,7;12,1;10,55;9,27;9,52;2023Q2
Finland;4,26;3,65;4;4,1;4,36;5,43;6,57;5,49;7,84;5,88;6,14;6,12;5,74;2023Q2
France;3,89;3,89;4,27;4,53;4,24;4,68;5,15;5,37;5,41;5,52;5,86;5,72;5,35;2023Q2
Germany;;;;;;;;;;;;;6,91;2023Q1
Greece;5,32;-1,26;4,5;7,27;8,07;10,17;10,43;12;10,72;10,98;8,83;6,97;6,92;2023Q2
China, P.R.: Hong Kong;;;;;;;;;;;;;7,71;2023Q3
Iceland;;;;;19,9;20,47;19,53;17,75;15,93;15,44;15,38;14,73;13,46;2023Q3
Ireland;8,39;6,88;7,37;7,54;9,75;12,49;13,01;12,34;13,12;11,92;10,34;10,88;10,58;2023Q2
Israel;6,7;6,33;6,55;6,91;7,04;7,01;7,17;7,35;7,38;7,5;6,69;6,33;6,58;2023Q2
Italy;4,98;5,45;5,39;5,4;5,88;6,19;5,49;6,64;6,33;6,71;6,6;6,12;5,89;2023Q2
Japan;;;;4,74;4,64;4,79;4,8;5;5,18;5,11;4,73;4,77;4,07;2023Q1
Korea, Rep. of;7,41;7,04;7,14;7,39;7,39;7,25;7,79;7,93;7,88;7,73;7,51;7,44;6,91;2022Q2
Latvia;10,42;8,21;8,71;8,91;8,58;9,03;8,49;9,72;11,06;8,5;9,25;8,97;8,04;2023Q3
Luxembourg;5,23;5;6,28;6,39;6,5;7,01;7,36;8,35;7,98;7,44;8,64;7,85;8,14;2023Q2
Malta;5,8;5,86;6,07;6,55;5,46;5,9;6,41;7,31;7,76;8,12;7,93;7,57;7,26;2023Q2
Netherlands, The;4,44;4,33;4,56;4,79;4,59;5,07;5,46;5,71;5,83;5,12;5,45;6,7;5,97;2023Q3
Norway;;;;;;;;;;;;;7,57;2023Q1
Portugal;5,14;5,07;6,63;6,75;6,42;7,17;6,51;7,63;7,01;7,63;7,37;6,62;6,27;2022Q2
San Marino, Rep. of;9,5;8,54;6,21;7,26;6,21;6,92;6,22;6,5;6,2;4,24;4,02;5,14;5,33;2023Q2
Singapore;9,11;8,03;8,46;7,91;7,89;8,34;8,53;8,37;8,04;8,24;;;;2019A1
Slovak Rep.;7,2;7,39;7,97;7,56;7,69;7,68;7,32;7,46;7,35;7,26;7,29;7,6;7,27;2023Q2
Slovenia, Rep. of;7,51;7,77;7,53;8,16;10,26;11,15;11,56;11,55;10,69;10,61;9,52;9,17;9,07;2023Q3
Spain;;;4,54;5,34;5,62;6;6,15;6,06;6,05;6,1;5,91;5,78;5,52;2023Q2
Sweden;;;;;;;5,61;5,64;5,38;5,66;5,67;6,52;6,6;2023Q2
Switzerland;5,45;5,66;5,7;6,3;6,99;7,47;7,3;8,25;8,54;8,85;8,75;7,36;7,88;2023Q2
United Kingdom;4,47;4,32;4,68;5,2;4,37;5,43;5,46;5,39;5,58;5,53;5,48;5,25;6,46;2023Q2
United States;8,8;8,85;8,81;9,15;9,2;9,36;9,33;9,38;9,44;9,4;8,61;8,62;8,58;2023Q3
Albania;8,66;8,13;7,93;7,73;7,42;8,43;8,75;9,02;9,15;9,08;9,07;8,85;8,6;2023M9
Bosnia and Herzegovina;10,28;10,61;10,93;11,54;10,67;10,08;10,86;10,68;10,43;10,51;10,19;9,97;9,89;2023Q2
Bulgaria;10,47;10,76;10,1;10,35;11,57;12,02;11,63;11,39;10,82;11,59;11,88;11,09;9,92;2023Q3
Croatia, Rep. of;12,85;12,62;13;12,62;12,78;11,84;12,12;12,43;12,35;12,45;12,68;11,64;9,94;2023Q2
Hungary;8,27;8,29;9,47;9,93;8,54;8,22;9,6;10,26;10,97;11,71;10,12;8,89;8,95;2023Q3
Kosovo, Rep. of;9,26;9,52;9,21;8,06;9,45;10,98;10,91;12;11,73;10,5;10,31;9,82;8,91;2023M4
Lithuania;7,96;8,75;11,12;11,63;11,26;9,89;7,75;8,25;8,06;6,41;5,9;5,48;5,04;2023Q1
North Macedonia, Republic of ;10,3;10,68;10,72;10,57;9,92;10,18;10,19;9,82;10,32;10,24;10,38;10,51;11,25;2023Q2
Poland, Rep. of;8,2;7,82;8,69;9,1;8,94;9,37;9,51;10,02;8,74;8,52;7,81;6,75;6,41;2023Q2
Romania;;8,07;8,02;7,96;7,38;8,18;8,92;8,89;9,34;10,2;10,33;8,62;8,49;2023Q2
T��rkiye, R;12,28;11,71;12,1;10,95;11,59;11;10,73;10,72;10,79;11,75;10,55;7,18;8,2;2023Q2
Armenia, Rep. of;17,75;14,94;13,53;12,64;11,63;11,86;12,95;12,76;12,5;11,86;11,5;11,24;13,7;2023M8
Belarus, Rep. of;11,1;12,02;10,98;10,18;9,68;9,94;10,59;11,5;11,48;11,55;11,37;12,14;14,51;2023Q2
Georgia;12,74;11,99;13,58;12,59;13,22;10,43;9,38;11,3;11,55;12,28;10,29;13,04;12,96;2023M10
Kazakhstan, Rep. of;10,17;10,15;10,2;9,85;11,33;10,23;10,67;11,97;11,33;12,76;11,84;11,37;11,14;2022Q4
Moldova, Rep. of;15,72;15,58;12,42;10,65;10,98;13,06;12,97;12,83;12,87;12,56;12,88;12,37;13,54;2023Q2
Russian Federation;10,84;10,04;9,96;10,36;7,72;7,63;8,77;8,38;8,6;9,16;6,98;6,67;6,69;2023M6
Tajikistan, Rep. of;15,08;13,56;15,61;16,45;10,82;12,06;25,45;26,59;27,04;27,38;26,27;20,92;;2021A1
Ukraine;12,39;12,55;12,11;12,21;10,32;6,91;6,08;6,49;6,03;6,94;7,19;6,89;5,82;2023M9
Uzbekistan, Rep. of;12,39;10,9;10,03;9,77;10,04;9,03;8,54;10,58;10,33;16,66;13,15;13,18;12,18;2023M10
Bangladesh;;8,01;6,19;6,56;6,18;5,72;5,71;5,25;4,74;5,17;4,77;4,76;6,7;2023Q2
Bhutan;8,09;12,02;14,51;15,34;12,96;14,11;12,62;10,76;10,81;10,01;8,47;8,2;7,78;2023Q3
Brunei Darussalam;9,16;8,07;6,79;9,51;9,78;10,95;11,07;9,5;11,08;11,16;11,95;10,08;9,74;2023Q2
Cambodia;18,98;16,42;15,44;17,4;13,77;13,77;13,75;13,97;13,93;13,55;14,21;14,44;14,92;2023Q3
China, P.R.: Mainland;;;;;6,86;7,07;6,87;7,09;7,38;7,57;7,54;7,75;7,48;2022Q3
Fiji, Rep. of;11,85;9,52;8,88;8,67;8,71;8,48;9,17;8,87;9,94;10,96;11,39;10,78;9,7;2022Q3
India;6,18;5,87;6,13;6,07;6,31;6,68;6,7;7,04;6,89;8,03;7,81;7,83;7,76;2023Q2
Indonesia;8,19;8,63;9;9,6;9,96;10,77;12,43;14,62;12,82;13,4;12,56;13,17;13,29;2023Q3
China, P.R.: Macao;3,02;2,66;2,66;2,36;2,21;2,9;3,12;3,3;3,15;3,1;3,08;2,84;3,51;2023Q3
Malaysia;8,95;8,35;8,6;8,65;8,87;9,24;9,16;9,11;8,5;8,71;9,02;8,83;7,57;2023Q3
Maldives;;;17,14;16,02;16,45;16,64;18,55;19,77;19,46;20,86;19,27;15,94;17,92;2023M9
Myanmar;;;;;;;;;;;;;;
Nepal;;;;;;;9,61;11,26;10,73;10,36;9,27;8,96;7,31;2023Q2
Philippines;8,52;9,08;9,97;9,16;8,39;8,39;8,34;8,7;9,3;9,52;9,73;9,67;8,98;2023Q2
Samoa;;;;;;;12,25;11,84;12,21;11,98;12,45;12,72;12,25;2023Q2
Solomon Islands;14,09;14,49;12,31;12,26;13,18;11,27;11,4;12,5;11,93;12,94;13,16;13,36;13,76;2022Q3
Sri Lanka;;21,26;7,07;6,68;7,07;6,34;6,38;6,84;6,98;7,39;6,8;6,38;6,41;2023Q3
Thailand;8,53;7,84;7,81;8,52;9,21;10,03;10,46;10,73;10,78;11,3;11,14;10,71;10,3;2023Q2
Tonga;;;16,56;17,78;20,36;19,65;16,82;15,33;15,97;17,66;17,21;15,17;15,22;2023Q1
Vanuatu;11,9;12,09;13,47;12,89;12,35;11,17;10,94;10,26;10,38;;;;;2018Q1
Vietnam;6,7;7,58;7,97;7,42;6,86;6,34;5,62;5,19;5,73;5,77;7,19;7,51;;2021Q4
Algeria;7,73;7,53;7,97;7,94;7,94;9,01;9,87;9,78;9,95;9,33;9,66;9,17;8,43;2022M12
Djibouti;;;3,84;4,17;4,3;5,26;5,75;5,39;6,29;6,65;6,07;5,65;5,75;2022Q2
Jordan;;;;;;11,88;13,55;13,57;13,52;13,78;11,86;11,67;9,7;2023Q2
Lebanon;;7,45;8,17;7,95;8,66;8,65;8,92;8,99;8,09;8,56;;;;2020Q2
Pakistan;;;;6,75;7,38;6,98;6,3;5,82;5,84;5,94;5,79;5,14;4,94;2023Q2
Saudi Arabia;12,23;12,01;12,65;13,54;13,68;13,9;14,8;15,42;15,19;14,43;14,43;13,82;13,68;2023Q2
United Arab Emirates;11,96;12,6;12,99;12,54;12,52;12,85;13,15;12,87;12,16;12,43;12,31;11,83;11,33;2023Q2
West Bank and Gaza;10,7;11,16;10,83;10,25;10,36;9,71;9,84;9,68;10,18;9,42;8,18;8,02;8,06;2022Q1
Sub-Saharan Africa;;;;;;;;;;;;;;
Botswana;;;7,06;8,38;9,11;8,52;8,44;8,77;8,92;8,91;9,19;8,63;8,93;2023Q3
Burundi;11,71;13,19;14,27;14,52;13,45;13,45;13,83;12,17;11,53;;;;;2018Q2
Cameroon;4,34;2,96;2,68;3,42;4,95;5,26;4,31;4,54;4,98;5,11;6,49;6,49;6,71;2023M7
Central African Rep.;10,38;13,15;14,13;19,09;19,16;18,06;16,09;17,69;15,08;15,92;13,82;13,85;14,03;2023M7
Chad;5,3;8,87;8,67;9,65;6,98;7,68;7,67;8,81;7,49;2,8;1,64;4,99;4;2022M12
Congo, Rep. of;4,87;3,99;4,25;5,19;5,66;9,06;10,63;12,2;11,83;13,47;10,12;10,87;11,23;2023M7
Equatorial Guinea, Rep. of;8,25;9,73;7,7;8,39;9,55;11,22;12,95;13,4;12,81;-0,71;-0,17;-1,32;1,15;2023M7
Eswatini, Kingdom of;12,35;12,23;12,55;11,95;12,61;12,91;12,98;13,45;13,11;4,49;11,72;17,53;12,57;2023Q1
Gabon;9,87;6,66;5,91;6,33;5,54;4,51;4,66;7,69;6,9;9,88;9,81;10,16;9,06;2023M7
Ghana;12,44;10,67;11,11;9,98;10,61;10,5;9,18;8,91;12,29;10,66;9,76;9,01;7,74;2023Q2
Guinea;;;;10,19;10,91;10,56;10,98;11,86;8,68;9,58;8,88;11,35;10,32;2022Q2
Kenya;11,67;11,6;11,35;12,24;12,68;12,36;12,91;11,66;13,18;12,76;12,26;12,07;11,96;2023Q2
Lesotho, Kingdom of;5,18;5,5;6,78;5,97;6,66;7,08;9,06;9,69;10,28;10,4;11,35;10,91;12,47;2023Q3
Madagascar, Rep. of;8,2;7,94;8,08;8,6;8,51;8,69;7,96;6,81;6,72;6,77;6,89;6,72;6,29;2023Q3
Malawi;;;;;;10,13;10,06;9,86;8,33;9,26;9,14;8,28;9;2023Q2
Mauritius;5,51;5,76;6,88;7,31;8,01;8,75;9,1;8,73;10,37;10,19;9,61;9,11;9;2023Q2
Namibia;8,34;7,79;7,99;8,52;8,87;9,22;9,32;9,52;10,55;9,29;9,6;9,26;9,67;2023Q2
Nigeria;1,49;10,62;10,82;10,39;10,43;12,38;11,37;7,18;8,78;7,95;6,93;6,76;5,69;2023Q2
Rwanda;13,77;15,58;15,38;13,64;13,67;14,07;14,56;13,84;15,2;14,52;12,92;13,74;12,04;2023Q2
Seychelles;7;6,58;7,23;7,18;6,28;7,91;9,19;8,59;8,26;8,16;6,22;6,83;;2021M12
South Africa;6,78;6,84;7,44;7,56;7,17;7,12;7,65;8,19;7,91;8,01;7,61;8,09;6,3;2022Q3
Tanzania, United Rep. of;10,3;10,02;10,06;10,58;10,35;11,11;12,52;12,26;11,85;11,7;12,42;12,7;12,12;2023Q2
Uganda;11,26;12,76;12,61;12,19;12,89;13,04;11,69;13,81;13,9;13,67;13,37;14,66;14,8;2022M12
Zambia;8,99;8,92;10,98;13,48;13,75;11,16;12,09;11,65;11,16;11,09;8,48;10,26;10,13;2023Q3
Argentina;7,24;6,87;7,25;10,16;9,99;9,44;8,87;10,19;8,65;9,73;12,41;12,98;14,75;2023Q3
Barbados;;;;;;;10,29;10,5;8,23;7,64;10,35;10,37;11,23;2023M9
Brazil;10,3;10,08;10,15;10,15;9,46;7,69;8,39;8,78;9,11;9,55;8,66;8,77;8,76;2023Q1
Chile;7,84;7,74;7,94;7,91;7,77;7,37;8,25;8,29;8,19;7,34;6,64;6,65;7,34;2023M8
Colombia;9,79;10,23;10,46;8,96;8,93;8,7;8,73;9,19;9,3;8,99;9,75;12,22;10,74;2023M9
Costa Rica;8,41;8,39;8,35;8,09;8,08;7,89;7,66;7,86;7,92;8,27;8,05;7,43;9,69;2023M8
Dominican Rep.;8,97;9,46;9,52;9,12;9,08;9,06;9,1;9,44;9,61;10,43;;;;2019M6
Ecuador;12,43;12,04;11,94;12,31;12,25;13,04;11,87;11,66;11,78;11,91;11,96;11,61;11,24;2023M8
El Salvador;9,41;10,22;10,25;10,18;10,14;10,15;10,23;10,02;9,58;9,19;8,84;8,9;8,79;2023M11
Guatemala;6,73;6,6;6,63;6,92;6,94;6,86;7,05;6,97;7,08;6,94;6,48;6,6;6,42;2023M10
Honduras;;;;;;7,64;;7,42;7,26;6,99;6,99;6,47;6,22;2023M7
Mexico;9,64;8,89;9,35;8,96;9,37;8,66;8,38;9,07;9,13;9,8;9,73;10,85;9,79;2023M8
Panama;11,55;11,21;10,42;9,8;10,03;10,17;11,45;12,48;12,49;12,71;11,8;12,15;11,78;2023Q3
Paraguay;5,8;7,37;7,55;7,04;7,01;7,18;7,94;8,16;8,42;8,72;8,47;9,45;8,93;2023M9
Peru;7,75;8,32;8,62;8,65;9,16;8,61;9,48;9,84;10,45;10,92;9,12;9,36;10,34;2023Q2
Trinidad and Tobago;11,39;11,35;11,21;11,1;10,76;11,69;10,68;11,17;11,22;10,55;10,18;11,19;11,56;2023Q3
Uruguay;;;;;;7,35;8,57;9,16;10,29;10,42;9,66;8,87;9,58;2023Q2
